p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
BATF	1.45717571154159e-78	0.317000494313138	0.364	0.073	2.80972620699448e-74	3	BATF
BCL11A	4.48658319107264e-78	0.310297999806952	0.333	0.063	8.65102970902627e-74	3	BCL11A
ABCA1	5.13147665221069e-78	0.293235963112418	0.294	0.048	9.89451328079265e-74	3	ABCA1
SYAP1	1.14754547919011e-77	0.508477787408256	0.51	0.158	2.21269719297436e-73	3	SYAP1
PRKCA	1.30657216211235e-76	0.313198902226241	0.315	0.057	2.51933244298503e-72	3	PRKCA
FXYD5	1.52367685118721e-76	0.45585387184054	0.611	0.219	2.93795370445919e-72	3	FXYD5
MCTP2	2.47410056109727e-75	0.264780714694202	0.29	0.048	4.77056070190775e-71	3	MCTP2
TSC22D31	6.77199818812856e-75	0.596284362464011	0.998	0.919	1.30577669063495e-70	3	TSC22D3
ACER31	1.268904588941e-74	0.313924709524414	0.373	0.084	2.44670182839603e-70	3	ACER3
SMIM3	1.87837669468286e-74	0.305135837028132	0.351	0.073	3.62188594268749e-70	3	SMIM3
CD371	3.60048196819161e-73	0.430725635724352	0.622	0.223	6.94244933106705e-69	3	CD37
SERINC3	4.49424347054375e-73	0.450193241368278	0.56	0.198	8.66580025990246e-69	3	SERINC3
TRAF5	1.6284271457182e-72	0.308876743227109	0.355	0.077	3.13993322237384e-68	3	TRAF5
PRMT9	8.28217578505615e-72	0.446844250763355	0.337	0.071	1.59696913487453e-67	3	PRMT9
SEPT2	8.46141532445067e-72	0.507507718066066	0.654	0.287	1.63153010286058e-67	3	SEPT2
MSRA	2.18626460602801e-71	0.306669394526114	0.362	0.083	4.21555541334322e-67	3	MSRA
KIF13B	3.03359772175455e-71	0.334625284585356	0.413	0.106	5.84938312708713e-67	3	KIF13B
CLU	9.22218946903702e-71	0.284581713619867	0.674	0.261	1.77822257341972e-66	3	CLU
EMP31	1.19932857592994e-70	0.45539227076169	0.613	0.229	2.31254536010811e-66	3	EMP3
ZNF331	1.4275406880842e-70	0.711669179755263	0.483	0.157	2.75258395476396e-66	3	ZNF331
PDE4A	1.28445407128771e-69	0.263531500623493	0.297	0.056	2.47668434025695e-65	3	PDE4A
RAPGEF2	1.99871716802695e-69	0.257728315084258	0.292	0.053	3.85392644338956e-65	3	RAPGEF2
KIAA1522	1.55613379217597e-68	0.313112679046961	0.369	0.089	3.0005371780737e-64	3	KIAA1522
CD84	7.86769370438785e-68	0.402981259391423	0.494	0.154	1.51704870008007e-63	3	CD84
MIER1	1.17337075961022e-67	0.335302441873675	0.42	0.116	2.26249349868042e-63	3	MIER1
RPL36AL	2.1429855933423e-67	0.619769371094713	0.867	0.587	4.13210482108263e-63	3	RPL36AL
COBLL1	7.17274264034209e-67	0.362895570582001	0.384	0.099	1.38304823591076e-62	3	COBLL1
LEO1	1.47901969975262e-66	0.280994643399076	0.279	0.051	2.85184578506299e-62	3	LEO1
BHLHE40	1.50640113921963e-65	0.448872171701027	0.51	0.173	2.9046426766433e-61	3	BHLHE40
NFKBIZ	1.67451655945966e-65	0.576226529557182	0.528	0.197	3.22880282995011e-61	3	NFKBIZ
FCER1G1	1.90204485972558e-65	0.322195780837862	0.638	0.213	3.66752289852287e-61	3	FCER1G
ITM2C	1.04391444602171e-64	0.33904053720208	0.434	0.125	2.01287583481905e-60	3	ITM2C
RPS11	1.17297100063174e-64	0.506592971987408	0.978	0.913	2.26172268341811e-60	3	RPS11
LMNA	1.25022427902792e-64	0.999868574223497	0.809	0.528	2.41068245482164e-60	3	LMNA
SNX29	1.34460474590261e-64	0.274808930691261	0.312	0.066	2.59266687104941e-60	3	SNX29
VMP1	1.34873947515303e-64	0.605779662866065	0.84	0.498	2.60063945599008e-60	3	VMP1
FAU	1.93666737806284e-64	0.532366201214038	0.969	0.924	3.73428203838076e-60	3	FAU
ELL2	1.42277845634022e-63	0.373688920077842	0.447	0.137	2.74340141951522e-59	3	ELL2
IL4R	2.5830150977461e-63	0.31193175898529	0.371	0.094	4.98056971147403e-59	3	IL4R
HK2	3.2690790421871e-63	0.250385809656466	0.301	0.063	6.30343820914517e-59	3	HK2
VIM1	8.56161649173652e-63	0.445899228739167	0.987	0.82	1.65085089193663e-58	3	VIM
CAST	1.95375174342117e-62	0.478524566281969	0.652	0.309	3.76722411166469e-58	3	CAST
ANKRD441	2.14368020053641e-62	0.360659819000981	0.508	0.167	4.1334441626743e-58	3	ANKRD44
RPL34	1.46315245895481e-61	0.546328219428161	0.987	0.97	2.82125057135666e-57	3	RPL34
NFKBID	1.67374405184746e-60	0.374058683476927	0.285	0.06	3.22731328077227e-56	3	NFKBID
DLC1	2.10459228315916e-60	0.362854453006287	0.438	0.137	4.0580748403875e-56	3	DLC1
MITF	2.40790024215799e-60	0.27532267331751	0.306	0.068	4.64291324692904e-56	3	MITF
MT-ND31	4.42901562835947e-60	0.58690957152407	1	0.998	8.54002793460274e-56	3	MT-ND3
REL	1.0402513669478e-59	0.550140252421472	0.544	0.212	2.00581268574874e-55	3	REL
IL181	1.59750401617464e-59	0.260404083723339	0.333	0.081	3.08030724398794e-55	3	IL18
NFKBIA1	6.33995507902238e-59	0.792376338227134	0.939	0.788	1.2224701383371e-54	3	NFKBIA
FTH11	1.08373368349127e-58	0.448880136803595	1	0.989	2.08965528850787e-54	3	FTH1
ZFP361	3.40274141793358e-58	0.533019684145603	0.973	0.804	6.56116600205952e-54	3	ZFP36
SWAP70	1.40990711052263e-57	0.329955528657431	0.418	0.129	2.71858289050974e-53	3	SWAP70
OSBPL8	4.15246741920661e-57	0.328907224429302	0.447	0.144	8.00678767771418e-53	3	OSBPL8
TNFAIP31	7.01234815409383e-57	0.764134085707172	0.587	0.251	1.35212097107237e-52	3	TNFAIP3
RPS6KA5	5.15267338837728e-56	0.288709859833317	0.324	0.081	9.93538482746908e-52	3	RPS6KA5
RPL21	3.99341925555192e-55	0.447819774114342	0.982	0.907	7.70011100855522e-51	3	RPL21
BIRC31	1.03587647192734e-54	0.671272423937246	0.53	0.204	1.99737701317029e-50	3	BIRC3
GLUL1	1.08557540589682e-54	0.398658441699533	0.951	0.653	2.09320649765025e-50	3	GLUL
LYST	1.32462305668421e-54	0.295163230874787	0.398	0.12	2.5541381778985e-50	3	LYST
PPP1R15A	1.38073835451122e-54	0.574904730110832	0.721	0.398	2.66233969516853e-50	3	PPP1R15A
MBP	1.70594891118882e-54	0.289988494598178	0.416	0.129	3.28941069055428e-50	3	MBP
AC114760.2	8.15950536119493e-54	0.273109040935098	0.288	0.066	1.57331582374561e-49	3	AC114760.2
CCDC88A1	3.7853513216322e-53	0.301564860881908	0.481	0.161	7.2989144183712e-49	3	CCDC88A
IDS	9.13692635243707e-52	0.448298721784325	0.566	0.245	1.76178213927692e-47	3	IDS
SH3KBP1	1.15311511761814e-51	0.299186969111277	0.382	0.117	2.2234365697913e-47	3	SH3KBP1
EFCAB14	2.48058621848647e-51	0.380154068029114	0.438	0.156	4.78306634648562e-47	3	EFCAB14
VAT11	3.15777003229332e-50	0.287637212066528	0.416	0.138	6.08881217626797e-46	3	VAT1
CRBN	3.53150436268739e-50	0.304720069758609	0.373	0.115	6.80944671213382e-46	3	CRBN
ADRB2	6.59005375766994e-50	0.267511089869578	0.306	0.08	1.27069416555392e-45	3	ADRB2
ARID1B	1.9675580178424e-48	0.375370991475417	0.521	0.218	3.79384537000372e-44	3	ARID1B
RPL23	5.43041800305281e-47	0.430083237261454	0.962	0.877	1.04709319934864e-42	3	RPL23
KDM6B	1.16458193058242e-46	0.362924293420968	0.355	0.113	2.24554687854902e-42	3	KDM6B
PLAT	1.47962529881995e-46	0.278791217862847	0.283	0.071	2.85301350118462e-42	3	PLAT
CD441	1.6470405724516e-46	0.447902925645095	0.748	0.461	3.17582363180117e-42	3	CD44
ID21	3.93064519862182e-46	0.426617338197592	0.627	0.303	7.57907007198259e-42	3	ID2
RNF130	1.56363118204925e-45	0.315453009967132	0.436	0.164	3.01499364522736e-41	3	RNF130
H3F3B	5.94148105425525e-45	0.492417866135326	0.984	0.955	1.1456363768815e-40	3	H3F3B
ELF11	4.87613980626444e-44	0.334372174270289	0.501	0.21	9.4021727744391e-40	3	ELF1
MT-ATP61	1.34527430923666e-43	0.42453606782565	1	0.998	2.59395792307013e-39	3	MT-ATP6
ANXA1	8.02910941356163e-42	0.497715961546982	0.872	0.574	1.54817287712295e-37	3	ANXA1
CREM	1.6359050523913e-41	0.323422114535525	0.364	0.126	3.15435212202091e-37	3	CREM
SH3BGRL31	2.38598959542229e-41	0.349771199199222	0.867	0.548	4.60066513789326e-37	3	SH3BGRL3
MLPH1	4.57099596953743e-40	0.291596078303129	0.528	0.229	8.81379442846206e-36	3	MLPH
RPS27A	5.88015628578241e-40	0.441674214592776	0.975	0.918	1.13381173502456e-35	3	RPS27A
MYO9B	1.75190751925238e-39	0.253510181115	0.369	0.131	3.37802807862245e-35	3	MYO9B
TSNAX	2.00839372337733e-39	0.278407629409759	0.355	0.127	3.87258477741618e-35	3	TSNAX
IQGAP2	3.1714053320257e-38	0.250157147284607	0.36	0.126	6.11510376121195e-34	3	IQGAP2
MT-CYB	5.83315057622141e-38	0.359027034590506	1	0.995	1.12474809410701e-33	3	MT-CYB
PER1	2.23373063616615e-37	0.301973564234619	0.492	0.222	4.30707941265558e-33	3	PER1
RPS14	2.89008219791042e-37	0.360190586140091	0.989	0.959	5.57265649401087e-33	3	RPS14
AREG	3.83090320876886e-37	0.615508599154482	0.384	0.149	7.38674756714812e-33	3	AREG
STK17B1	1.88794875140199e-35	0.291284060411572	0.499	0.223	3.64034278245332e-31	3	STK17B
MT-ATP8	3.85043637008057e-35	0.368896020062095	0.62	0.344	7.42441140878935e-31	3	MT-ATP8
RPL13	2.02695457068557e-34	0.278067420579419	0.996	0.99	3.90837380319592e-30	3	RPL13
RPL32	3.46467120406588e-34	0.384428033444187	0.984	0.947	6.68057901567983e-30	3	RPL32
RPL24	5.35526580831024e-34	0.406505493540255	0.951	0.884	1.03260235315838e-29	3	RPL24
MT-ND51	1.02643751398547e-33	0.307783143578784	1	0.977	1.97917681446678e-29	3	MT-ND5
CSNK1D	5.84276642309798e-32	0.26683105888026	0.42	0.185	1.12660222170175e-27	3	CSNK1D
MAPRE1	6.93331065631812e-32	0.257094032822066	0.346	0.136	1.33688096075126e-27	3	MAPRE1
TENT5A	1.3688315343447e-31	0.252991181555072	0.315	0.116	2.63938096452344e-27	3	TENT5A
HIST1H4C	2.26293835625524e-31	0.288581222350242	0.434	0.196	4.36339773853136e-27	3	HIST1H4C
CD9	7.24528639755397e-31	0.298487742553033	0.685	0.404	1.39703612317636e-26	3	CD9
RPL14	6.1023680317467e-30	0.437251973191199	0.928	0.891	1.1766586038814e-25	3	RPL14
STMN1	9.64261620382938e-30	0.268011946444447	0.342	0.137	1.85928925642238e-25	3	STMN1
MT-ND2	1.71903069325625e-28	0.28274854098581	1	0.997	3.3146349827367e-24	3	MT-ND2
MT-CO21	2.30652837052377e-28	0.288007737691336	1	0.995	4.44744800404393e-24	3	MT-CO2
MAT2A	4.88640811159381e-28	0.254026630545137	0.378	0.166	9.42197212077519e-24	3	MAT2A
ARHGDIB	6.12208927461426e-28	0.305897715620168	0.872	0.633	1.18046125393112e-23	3	ARHGDIB
BST2	6.22484771412258e-28	0.256062267661271	0.467	0.231	1.20027513623712e-23	3	BST2
RPL35A	9.34158991232271e-28	0.361224066152893	0.966	0.891	1.80124536689407e-23	3	RPL35A
RPS3	9.58915217045721e-28	0.285221765736026	0.984	0.947	1.84898032150756e-23	3	RPS3
SELENOK	1.11344937701387e-27	0.37735909583894	0.413	0.207	2.14695308875814e-23	3	SELENOK
RPL36	2.87360789461934e-27	0.318180990615583	0.957	0.929	5.54089074240501e-23	3	RPL36
CD631	4.16838803592701e-27	0.295877670856716	0.975	0.865	8.03748581087446e-23	3	CD63
MT-ND1	5.20288191662182e-27	0.320927268743444	1	0.996	1.00321969116302e-22	3	MT-ND1
RPL9	6.46585576101938e-27	0.297990905545789	0.975	0.936	1.24674630783976e-22	3	RPL9
PABPC4	1.29380897677778e-26	0.253008418030903	0.436	0.214	2.49472246902291e-22	3	PABPC4
CLIC11	1.67796110199088e-26	0.320491593459191	0.813	0.588	3.23544459685881e-22	3	CLIC1
RPL30	5.50019961998971e-26	0.399917924360327	0.971	0.94	1.06054849072642e-21	3	RPL30
CDC42EP3	9.42569341511918e-26	0.271373427414834	0.344	0.152	1.81746220430328e-21	3	CDC42EP3
DDX3X1	9.97439164957114e-26	0.327508661994348	0.596	0.361	1.92326219787031e-21	3	DDX3X
TCF25	3.79973261582811e-25	0.255314204045936	0.542	0.303	7.32664442983975e-21	3	TCF25
RPS28	5.6206615876991e-25	0.253723281190126	0.982	0.972	1.08377596734014e-20	3	RPS28
MYADM	7.76515159271297e-25	0.266914229338162	0.31	0.13	1.49727653010692e-20	3	MYADM
ATP6V1F1	9.09202931858702e-25	0.262862592366221	0.481	0.257	1.75312509320995e-20	3	ATP6V1F
ANXA11	2.62417912471953e-24	0.264468639817939	0.553	0.324	5.05994218828419e-20	3	ANXA11
NR4A1	1.79227346053419e-23	0.301708823050809	0.485	0.269	3.45586168660202e-19	3	NR4A1
RPL22	2.69222655108931e-23	0.308579956369946	0.951	0.892	5.19115123581041e-19	3	RPL22
RPL18	8.79849174241787e-23	0.280538905781973	0.962	0.925	1.69652517777301e-18	3	RPL18
DUSP1	1.4671656634226e-22	0.289722796764363	0.966	0.899	2.82898883221145e-18	3	DUSP1
MCL11	7.4395049111582e-22	0.323688207190557	0.825	0.657	1.43448533696952e-17	3	MCL1
CD83	7.73314886086393e-22	0.286377710448813	0.281	0.12	1.49110576335178e-17	3	CD83
PEBP11	4.36218500057879e-21	0.256797140406273	0.825	0.624	8.41116511811603e-17	3	PEBP1
PFDN5	4.42294834064802e-21	0.283235052421995	0.89	0.765	8.52832899043751e-17	3	PFDN5
EIF4B	6.17781996189111e-21	0.262211580552068	0.544	0.338	1.19120724505184e-16	3	EIF4B
ATP1B31	8.19179597864193e-21	0.367838394293392	0.404	0.216	1.57954210060174e-16	3	ATP1B3
RPS23	1.6589485861097e-20	0.286127376645789	0.966	0.958	3.19878466373673e-16	3	RPS23
RPS29	2.68262876918515e-19	0.252731680125061	0.978	0.946	5.17264479274281e-15	3	RPS29
JUN1	5.52060935265288e-18	0.318811619676025	0.933	0.896	1.06448389537853e-13	3	JUN
LRRFIP11	9.63462915443542e-18	0.260570541513396	0.587	0.394	1.85774919355824e-13	3	LRRFIP1
RPL7A	1.55644923973385e-17	0.260197194405315	0.962	0.933	3.00114542405482e-13	3	RPL7A
RPS25	3.24184715748752e-14	0.260444609291331	0.917	0.877	6.25092968906744e-10	3	RPS25
DDIT4	2.75827193006342e-11	0.268633958625526	0.557	0.39	5.31849993554829e-07	3	DDIT4
CLDN5	0	2.41149714985403	0.798	0.008	0	4	CLDN5
ACKR1	0	2.30577900926871	0.514	0.008	0	4	ACKR1
SPARCL1	0	2.14221714200118	0.979	0.088	0	4	SPARCL1
VWF	0	2.00120036811058	0.831	0.013	0	4	VWF
EDN1	0	1.95767367484308	0.675	0.022	0	4	EDN1
HYAL2	0	1.90988266554153	0.93	0.055	0	4	HYAL2
GNG11	0	1.81857274285974	0.901	0.029	0	4	GNG11
CLEC14A	0	1.77858511985266	0.881	0.007	0	4	CLEC14A
PRSS23	0	1.7551375260243	0.877	0.06	0	4	PRSS23
AQP1	0	1.73667525240045	0.918	0.086	0	4	AQP1
PLVAP	0	1.72891459015732	0.798	0.009	0	4	PLVAP
RAMP2	0	1.70821860049271	0.872	0.006	0	4	RAMP2
EGFL7	0	1.56947235392251	0.877	0.073	0	4	EGFL7
RAMP3	0	1.46740732369092	0.807	0.003	0	4	RAMP3
NPDC1	0	1.44363577277197	0.844	0.051	0	4	NPDC1
ESAM	0	1.33947983896276	0.881	0.032	0	4	ESAM
EMCN	0	1.32616348608911	0.823	0.004	0	4	EMCN
DNASE1L3	0	1.25255427132858	0.477	0.002	0	4	DNASE1L3
ADGRL4	0	1.23710632528821	0.761	0.006	0	4	ADGRL4
TMEM204	0	1.20088607746535	0.819	0.036	0	4	TMEM204
FAM107A	0	1.10345979683197	0.708	0.008	0	4	FAM107A
PTPRB	0	1.10220615472185	0.675	0.007	0	4	PTPRB
CD93	0	1.09735798968672	0.691	0.017	0	4	CD93
ECSCR	0	1.091101109736	0.782	0.008	0	4	ECSCR
TSPAN7	0	1.059777047333	0.687	0.023	0	4	TSPAN7
LDB2	0	0.996991264773326	0.757	0.014	0	4	LDB2
TINAGL1	0	0.984530801960423	0.753	0.026	0	4	TINAGL1
CD34	0	0.980224505648097	0.646	0.022	0	4	CD34
CDH5	0	0.976901003885388	0.7	0.003	0	4	CDH5
PCAT19	0	0.973287208743069	0.737	0.003	0	4	PCAT19
NOSTRIN	0	0.886718016151535	0.679	0.033	0	4	NOSTRIN
CALCRL	0	0.884428168811728	0.593	0.006	0	4	CALCRL
CYYR1	0	0.881959367013606	0.7	0.003	0	4	CYYR1
PALMD	0	0.880143526275564	0.642	0.02	0	4	PALMD
FLT1	0	0.879480348851304	0.605	0.006	0	4	FLT1
JAM2	0	0.85006052530752	0.667	0.004	0	4	JAM2
S1PR1	0	0.8172274588931	0.63	0.012	0	4	S1PR1
CXorf36	0	0.806152159106925	0.658	0.003	0	4	CXorf36
MMRN2	0	0.802212773181554	0.642	0.002	0	4	MMRN2
ROBO4	0	0.770404665985329	0.593	0.002	0	4	ROBO4
SLCO2A1	0	0.766818811073876	0.564	0.007	0	4	SLCO2A1
TM4SF18	0	0.750056414478491	0.531	0.001	0	4	TM4SF18
GPR146	0	0.708584208658673	0.494	0.01	0	4	GPR146
NOTCH4	0	0.698305705427277	0.506	0.007	0	4	NOTCH4
NRN1	0	0.657836147951723	0.547	0.002	0	4	NRN1
LIMS2	0	0.63189282885721	0.551	0.017	0	4	LIMS2
PCDH17	0	0.630323918670548	0.477	0.007	0	4	PCDH17
TIE1	0	0.607964663221081	0.56	0.009	0	4	TIE1
GPIHBP1	0	0.543498344887272	0.395	0.001	0	4	GPIHBP1
SNCG	0	0.539352140464821	0.457	0.005	0	4	SNCG
MYCT1	0	0.514178590230677	0.486	0.001	0	4	MYCT1
ADCY4	0	0.460651199085799	0.44	0.004	0	4	ADCY4
RASIP1	0	0.460155379551243	0.416	0.003	0	4	RASIP1
CCL14	0	0.45131012242133	0.387	0.001	0	4	CCL14
PODXL	1.16404396563223e-306	0.876511705953389	0.531	0.015	2.24450957453206e-302	4	PODXL
FAM167B	1.01360003041839e-304	0.464576364402729	0.37	0.001	1.95442357865273e-300	4	FAM167B
TM4SF1	2.49467565800774e-294	1.79894261626868	0.942	0.117	4.81023360377053e-290	4	TM4SF1
TEK	6.54970685118283e-294	0.361223593575375	0.354	0.001	1.26291447504507e-289	4	TEK
ENG	4.1084471298555e-287	1.47375466226803	0.852	0.09	7.92190775578738e-283	4	ENG
PLPP1	1.32685496179578e-286	1.23060445562261	0.757	0.06	2.55844173733463e-282	4	PLPP1
PECAM11	2.83577744782608e-285	1.55075992736551	0.93	0.123	5.46794607489825e-281	4	PECAM1
SOX7	4.40194019724655e-281	0.452352999267058	0.366	0.002	8.48782108833081e-277	4	SOX7
CAV1	8.97916406523852e-280	1.68669554240543	0.951	0.123	1.73136241505929e-275	4	CAV1
ARHGAP29	1.23126077527667e-279	0.922197320686531	0.658	0.04	2.37411702688847e-275	4	ARHGAP29
GIMAP7	2.52465045710054e-278	1.20811999985175	0.811	0.075	4.86803101138126e-274	4	GIMAP7
SOX17	2.07343678085548e-276	0.514702699257349	0.342	0.001	3.99800080084553e-272	4	SOX17
PDE2A	3.98957344827006e-276	0.411457387772483	0.395	0.005	7.69269552295433e-272	4	PDE2A
ARHGEF15	1.43299270083957e-272	0.346531171188153	0.333	0.001	2.76309652575886e-268	4	ARHGEF15
AFAP1L1	1.73229851671115e-263	0.38790214442097	0.346	0.002	3.34021799992244e-259	4	AFAP1L1
CAVIN1	3.9822582556466e-258	1.23996292218546	0.86	0.105	7.67859036853778e-254	4	CAVIN1
MT1M	5.10840468204582e-258	1.41276870952112	0.597	0.034	9.85002590792076e-254	4	MT1M
PIK3R3	8.77091488602442e-254	0.592153054852863	0.461	0.015	1.69120780832323e-249	4	PIK3R3
ZNF385D	3.78458554651897e-251	0.475774987227881	0.358	0.004	7.29743785079787e-247	4	ZNF385D
ITGA5	1.06315681267617e-246	0.689800609219088	0.613	0.04	2.0499789662022e-242	4	ITGA5
TCF4	3.05690696562029e-243	1.23336823931893	0.798	0.086	5.89432801110904e-239	4	TCF4
SH2D3C	8.10680546229286e-243	0.501551690150026	0.453	0.015	1.56315422923931e-238	4	SH2D3C
ERG	1.7890314406914e-242	0.490308088027359	0.473	0.018	3.44961042394116e-238	4	ERG
RAPGEF4	2.86084222379528e-242	0.32762565141571	0.321	0.002	5.51627597592206e-238	4	RAPGEF4
ICAM2	2.8322656455576e-239	0.795842603982637	0.593	0.038	5.46117461776416e-235	4	ICAM2
FCN3	1.32575809107359e-237	1.02356078672703	0.296	0.001	2.55632675120809e-233	4	FCN3
HSPA12B	1.98031804026732e-237	0.323525057638952	0.288	0.001	3.81844924524345e-233	4	HSPA12B
JCAD	7.91639417064715e-235	0.460336373869928	0.387	0.009	1.52643912398418e-230	4	JCAD
SPARC	1.60239737980627e-232	1.63000165711489	0.922	0.136	3.08974262774245e-228	4	SPARC
GIMAP6	9.47394857355215e-231	0.545889415560913	0.514	0.026	1.82676676395232e-226	4	GIMAP6
MMRN1	1.35531418987565e-227	0.567579932524507	0.296	0.002	2.61331682091823e-223	4	MMRN1
BTNL9	1.67621278382836e-227	0.533956971533939	0.317	0.003	3.23207348977785e-223	4	BTNL9
CRIP2	4.35934130866644e-226	1.33932464818361	0.877	0.134	8.40568191137063e-222	4	CRIP2
FSCN1	1.30865275869916e-225	0.539538996520343	0.449	0.018	2.52334424932372e-221	4	FSCN1
EPAS1	5.77502694484624e-223	1.56740280621569	0.86	0.137	1.11354069550525e-218	4	EPAS1
CLEC1A	1.1265204504945e-220	0.300375760851784	0.292	0.002	2.17215673264349e-216	4	CLEC1A
SOX18	7.27714927683111e-220	0.652743155344645	0.267	0.001	1.40317992355857e-215	4	SOX18
LRRC32	8.8604500687246e-220	0.418251666224686	0.342	0.006	1.70847198225148e-215	4	LRRC32
CAVIN21	2.56571824776888e-219	1.7169272857172	0.938	0.172	4.94721792534795e-215	4	CAVIN2
GALNT18	3.64164343088652e-219	0.476789937306898	0.473	0.022	7.02181686343538e-215	4	GALNT18
IGFBP7	3.97489640719708e-219	2.07042191210733	0.955	0.17	7.66439525235741e-215	4	IGFBP7
ID3	1.05422838138711e-218	1.3156033984678	0.72	0.078	2.03276316499062e-214	4	ID3
POSTN	3.72195298454371e-215	1.30253413061067	0.535	0.033	7.17666974479718e-211	4	POSTN
NUAK1	1.14542721485743e-214	0.608760621994823	0.387	0.012	2.20861275568809e-210	4	NUAK1
A2M	2.4686842888271e-214	0.952611092186365	0.885	0.124	4.76011704571642e-210	4	A2M
LMCD1	3.60366993554739e-214	0.700208194955531	0.597	0.045	6.94859636972247e-210	4	LMCD1
RUNDC3B	2.81223473039326e-209	0.296374068573001	0.255	0.001	5.42255100714428e-205	4	RUNDC3B
COL4A1	2.09107867430689e-208	1.31400958990338	0.621	0.053	4.03201789979854e-204	4	COL4A1
COL15A1	2.88124100571487e-207	0.784679338223146	0.416	0.017	5.55560890721941e-203	4	COL15A1
NES	1.83226313554509e-206	0.450777868789915	0.354	0.009	3.53296977795805e-202	4	NES
ADGRL2	2.93887000019495e-205	0.471291408623018	0.366	0.011	5.6667291343759e-201	4	ADGRL2
IFI271	2.41255374675986e-204	1.58322544246638	0.959	0.197	4.65188613450237e-200	4	IFI27
FZD4	2.57822728407347e-204	0.4595574565256	0.362	0.01	4.97133784915046e-200	4	FZD4
CASKIN2	1.82244881266306e-202	0.382341716065451	0.358	0.01	3.51404580057692e-198	4	CASKIN2
GIMAP8	8.13015777146184e-201	0.408036165440234	0.383	0.013	1.56765702149327e-196	4	GIMAP8
MT1X	5.21014805975556e-200	1.99012254553145	0.753	0.103	1.00462074888207e-195	4	MT1X
FKBP1A	4.16630952993008e-196	1.66564969852704	0.971	0.28	8.03347803561118e-192	4	FKBP1A
EHD4	9.5738836512147e-195	0.85357153268736	0.72	0.092	1.84603624562722e-190	4	EHD4
ABCG2	1.34089714884571e-194	0.396251296824148	0.321	0.007	2.58551788240429e-190	4	ABCG2
PRCP	1.70609062547982e-194	0.965881975962714	0.65	0.072	3.28968394405019e-190	4	PRCP
EMP1	2.72420657679789e-192	1.12266901375567	0.753	0.104	5.25281512138169e-188	4	EMP1
RHOC	4.79813108410773e-188	0.888528194060787	0.761	0.11	9.25175635637653e-184	4	RHOC
PLK2	4.98955510792716e-186	0.876166063968264	0.514	0.04	9.62086015910515e-182	4	PLK2
HYAL1	5.4110765886195e-185	0.335787022759507	0.317	0.008	1.04336378781761e-180	4	HYAL1
APP	5.51095190384525e-185	1.27776060359448	0.877	0.186	1.06262174609944e-180	4	APP
ADAMTS9	3.82312371140175e-184	0.496637675347597	0.362	0.014	7.37174714032486e-180	4	ADAMTS9
SLCO4A1	3.86530993439131e-183	0.344465950959082	0.28	0.005	7.45309061549332e-179	4	SLCO4A1
IL33	1.04288670417575e-181	0.476153943570952	0.379	0.016	2.01089414299168e-177	4	IL33
CD59	5.48501893941522e-181	1.42298090668341	0.963	0.261	1.05762135189804e-176	4	CD59
NFIB	5.36507503619149e-180	0.96462614935553	0.749	0.109	1.03449376847844e-175	4	NFIB
GJA1	3.00068312617857e-179	0.600473979016451	0.506	0.039	5.78591720389752e-175	4	GJA1
GIMAP1	7.77066449943305e-179	0.562993565288655	0.564	0.051	1.49833952878068e-174	4	GIMAP1
MARCKSL1	1.55297619297317e-178	0.915994575008526	0.691	0.092	2.99444869529087e-174	4	MARCKSL1
SEC14L1	2.702271914398e-178	0.869821071730266	0.724	0.104	5.21052070534222e-174	4	SEC14L1
TMEM255B	4.45841284975603e-178	0.403759921282012	0.428	0.024	8.59671165689958e-174	4	TMEM255B
F2RL3	1.49099528976465e-176	0.511562157550204	0.259	0.004	2.87493711772421e-172	4	F2RL3
RBP7	5.17059311222123e-176	0.83591642719615	0.449	0.029	9.96993763898498e-172	4	RBP7
HSPG2	9.67921488530246e-175	1.33802148814388	0.716	0.109	1.86634621418402e-170	4	HSPG2
GRB10	2.96738889316477e-174	0.417722705619916	0.403	0.022	5.72171926380031e-170	4	GRB10
GIMAP4	2.00648500880091e-172	0.79116018766252	0.683	0.091	3.86890439396992e-168	4	GIMAP4
INPP1	2.6361792856165e-172	0.528902964455415	0.486	0.037	5.08308089852574e-168	4	INPP1
LIFR	3.85295716979419e-171	0.850908563454824	0.588	0.063	7.42927201479716e-167	4	LIFR
VAMP5	2.73602072489526e-170	0.776571530177767	0.728	0.108	5.27559516174304e-166	4	VAMP5
CNN3	8.43096420399828e-170	1.2095997987858	0.844	0.171	1.62565851781495e-165	4	CNN3
TSPAN18	1.75076928209597e-169	0.26506169031329	0.251	0.004	3.37583332973746e-165	4	TSPAN18
CD320	2.33850402979493e-169	0.654133838628503	0.551	0.054	4.50910347025059e-165	4	CD320
A4GALT	2.86742927905744e-169	0.413122646396608	0.428	0.027	5.52897713587856e-165	4	A4GALT
BCAM1	1.16500621370885e-168	1.21181130682509	0.86	0.188	2.2463649812734e-164	4	BCAM
CTNNAL1	4.22771734871536e-168	0.534393607353161	0.453	0.032	8.15188459179295e-164	4	CTNNAL1
CALD1	8.38098914689402e-167	0.576211675677283	0.728	0.091	1.6160223273041e-162	4	CALD1
