ID	description	GeneRatio	BgRatio	pValue	FDR	qvalue	geneID	size	DB	enrichmentRatio
GO:0050864	GO:0050864	regulation of B cell activation	30/557	110/17913	2.30269010807916e-20	1.50120538981548e-18	1.11225014558323e-18	MNDA/BTK/NCKAP1L/TYROBP/CD74/TLR4/PTPRC/NFAM1/MEF2C/TNFSF13B/SAMSN1/CD28/CD300A/CD40/GPR183/FCGR2B/TGFB1/NFATC2/INPP5D/NOD2/FOXP3/SYK/CD22/CTLA4/TNFAIP3/FCRL3/SLA2/TBX21/BANK1/IKZF3	30	geneontology_Biological_Process	0.0538599640933573
GO:0050853	GO:0050853	B cell receptor signaling pathway	22/557	53/17913	8.64358895276431e-20	5.54561691223386e-18	4.1087736960091e-18	MNDA/BTK/NCKAP1L/LAT2/LPXN/PTPN22/PTPRC/NFAM1/MEF2C/CD300A/FCGR2B/NFATC2/PRKCB/PIK3CD/KLHL6/SYK/STAP1/CD22/CTLA4/PLCL2/FCRL3/MS4A1	22	geneontology_Biological_Process	0.0394973070017953
GO:0002285	GO:0002285	lymphocyte activation involved in immune response	34/557	158/17913	2.41642262643389e-19	1.52612191500716e-17	1.13071091648099e-17	HAVCR2/CD86/CD80/SPN/HLA-DMB/NLRP3/LCP1/TLR4/PTGER4/PTPRC/FGL2/DOCK10/CD1C/CD28/CD40/GPR183/MFNG/ITGAL/FCGR2B/IL12RB1/APBB1IP/TGFB1/CD40LG/FOXP3/CD244/SLC11A1/ITM2A/CCL19/SLAMF6/PTK2B/PLCL2/TBX21/EOMES/IRF4	34	geneontology_Biological_Process	0.0610412926391382
GO:0050852	GO:0050852	T cell receptor signaling pathway	36/557	180/17913	2.7231685801504e-19	1.69339190784122e-17	1.25464204219075e-17	CD4/HLA-DRA/HLA-DPA1/HLA-DPB1/LCP2/HLA-DRB1/HLA-DQA1/PTPN22/PTPRC/WAS/TESPA1/CD300A/HLA-DQB1/PIK3CD/INPP5D/HLA-DQB2/BTN2A2/LILRB4/THEMIS2/CCR7/FOXP3/BTN3A1/ITK/GRAP2/FYN/TRAT1/CD3G/CD247/CD3E/LCK/THEMIS/CD3D/GBP1/PSMB9/PTPRJ/ZAP70	36	geneontology_Biological_Process	0.0646319569120287
GO:0001818	GO:0001818	negative regulation of cytokine production	45/557	290/17913	3.36326756801111e-19	2.05974659240923e-17	1.52607595390616e-17	CD33/BTK/NCKAP1L/HAVCR2/TYROBP/NLRP3/VSIG4/CD84/TREM2/CD83/TLR8/PTPN22/TLR4/PTGER4/PTPRC/SIRPA/ACP5/CD200R1/PDCD1LG2/CMKLR1/CX3CR1/GPNMB/CARD16/FCGR2B/TGFB1/CD274/INPP5D/BTN2A2/UBA7/FOXP3/SRGN/SLAMF1/LILRA5/UBE2L6/SLC11A1/CD96/GBP1/NLRC3/TIGIT/TNFAIP3/TBX21/HMOX1/NLRC5/BANK1/IDO1	45	geneontology_Biological_Process	0.0807899461400359
GO:0045089	GO:0045089	positive regulation of innate immune response	51/557	373/17913	3.75306390674245e-19	2.26416183747059e-17	1.67752817198464e-17	MNDA/BTK/NLRC4/ITGAM/CD300LF/HAVCR2/HCK/ITGB2/TLR7/FCER1G/TLR8/CLEC10A/PTPN22/TLR4/CLEC7A/COLEC12/PIK3AP1/MARCO/FCN1/CD300A/CD14/VAV1/CTSS/HLA-E/TLR1/CD1D/CRTAM/MYD88/NOD2/IFI16/CTSB/SH2D1A/FYN/SYK/CD209/FPR2/PYHIN1/CARD9/PSMB9/SLAMF6/NCR3/TNFAIP3/RASGRP1/TLR10/AIM2/FCRL3/NLRC5/BIRC3/GBP5/CCL5/IRF4	51	geneontology_Biological_Process	0.0915619389587074
GO:0046631	GO:0046631	alpha-beta T cell activation	31/557	133/17913	8.08075565383397e-19	4.74976895923199e-17	3.5191261983424e-17	NCKAP1L/CD86/CD80/SPN/NLRP3/DOCK2/CD83/CCR2/PTGER4/PTPRC/CD28/CD300A/GPR183/IL12RB1/CD274/HLA-E/FUT7/RUNX3/EBI3/FOXP3/RASAL3/SYK/CD3E/CCL19/SLAMF6/BCL11B/TBX21/ZAP70/EOMES/IRF4/PLA2G2D	31	geneontology_Biological_Process	0.0556552962298025
GO:1902107	GO:1902107	positive regulation of leukocyte differentiation	32/557	143/17913	8.10821519512635e-19	4.74976895923199e-17	3.5191261983424e-17	BTK/NCKAP1L/CD4/CD86/CD80/TYROBP/NLRP3/TREM2/CD83/EVI2B/CD74/PTPRC/TESPA1/PIK3R6/CCR1/IL7R/DCSTAMP/CSF1/IL12RB1/LILRB2/TGFB1/HCLS1/INPP5D/BTN2A2/IL2RA/LILRB4/RUNX3/FOXP3/SYK/CCL19/RASGRP1/ZAP70	32	geneontology_Biological_Process	0.0574506283662478
GO:1903555	GO:1903555	regulation of tumor necrosis factor superfamily cytokine production	33/557	155/17913	1.16702568744181e-18	6.73873975519968e-17	4.992764031236e-17	CD33/HAVCR2/CYBB/CD86/SPN/TYROBP/TREM2/FCER1G/CCR2/PTPN22/TLR4/PTPRC/PTAFR/SIRPA/ACP5/CX3CR1/CD14/GPNMB/CD274/HLA-E/TLR1/NOD2/JAK2/CD2/FOXP3/SLAMF1/LILRA5/CCL19/NLRC3/CARD9/TNFAIP3/RASGRP1/PTPRJ	33	geneontology_Biological_Process	0.059245960502693
GO:0002706	GO:0002706	regulation of lymphocyte mediated immunity	31/557	136/17913	1.62037120256606e-18	9.22470478981973e-17	6.83462723691688e-17	BTK/HAVCR2/NLRP3/FCER1G/CCR2/PTPRC/WAS/PIK3R6/P2RX7/CD28/CD40/IL7R/VAV1/FCGR2B/IL12RB1/TGFB1/HLA-E/CR1/B2M/CRTAM/FOXP3/LTA/TNFRSF1B/SH2D1A/IL1B/CD96/SLAMF6/SERPINB9/NCR3/RASGRP1/TBX21	31	geneontology_Biological_Process	0.0556552962298025
GO:0045580	GO:0045580	regulation of T cell differentiation	31/557	139/17913	3.18682551491527e-18	1.78904843490105e-16	1.32551441373303e-16	NCKAP1L/CD86/CD80/NLRP3/CD83/CCR2/CD74/HLA-DOA/PTPRC/TESPA1/PIK3R6/CD28/IL7R/IL12RB1/LILRB2/TGFB1/CR1/NFATC2/BTN2A2/IL2RA/LILRB4/CD2/RUNX3/FOXP3/SYK/CCL19/CTLA4/RASGRP1/TBX21/ZAP70/IRF4	31	geneontology_Biological_Process	0.0556552962298025
GO:0071706	GO:0071706	tumor necrosis factor superfamily cytokine production	33/557	161/17913	3.98145909981417e-18	2.20452844951354e-16	1.63334551391079e-16	CD33/HAVCR2/CYBB/CD86/SPN/TYROBP/TREM2/FCER1G/CCR2/PTPN22/TLR4/PTPRC/PTAFR/SIRPA/ACP5/CX3CR1/CD14/GPNMB/CD274/HLA-E/TLR1/NOD2/JAK2/CD2/FOXP3/SLAMF1/LILRA5/CCL19/NLRC3/CARD9/TNFAIP3/RASGRP1/PTPRJ	33	geneontology_Biological_Process	0.059245960502693
GO:0032611	GO:0032611	interleukin-1 beta production	26/557	93/17913	4.09074242214516e-18	2.20463744937477e-16	1.63342627242147e-16	CD33/NLRC4/TYROBP/NLRP3/TREM2/TLR8/TLR4/CASP1/P2RX7/SIRPA/ACP5/CX3CR1/CARD16/NOD2/SUCNR1/JAK2/CCR7/IFI16/NLRP1/IL1B/LILRA5/ABCA1/CCL19/TNFAIP3/AIM2/GBP5	26	geneontology_Biological_Process	0.0466786355475763
GO:0032649	GO:0032649	regulation of interferon-gamma production	26/557	93/17913	4.09074242214516e-18	2.20463744937477e-16	1.63342627242147e-16	HAVCR2/HLA-DPA1/HLA-DPB1/TLR7/CCR2/TLR8/PTPN22/TLR4/IRF8/SIRPA/PDCD1LG2/CD14/IL12RB1/CD274/CD2/CCR7/EBI3/FOXP3/LTA/IL1B/CD244/SLC11A1/CD3E/CD96/SLAMF6/RASGRP1	26	geneontology_Biological_Process	0.0466786355475763
GO:0034341	GO:0034341	response to interferon-gamma	34/557	173/17913	4.88633832215491e-18	2.59876046028291e-16	1.92543386794054e-16	MRC1/AIF1/HCK/HLA-DRA/HLA-DPA1/HLA-DPB1/HLA-DRB1/HLA-DQA1/TLR4/CASP1/IRF8/WAS/PTAFR/TRIM22/SIRPA/CD40/CIITA/HLA-DQB1/CD44/IL12RB1/HLA-E/HLA-DQB2/B2M/IRF5/JAK2/CCL2/GBP2/SLC11A1/GBP1/GBP4/NLRC5/GBP5/CCL5/IRF4	34	geneontology_Biological_Process	0.0610412926391382
GO:0050729	GO:0050729	positive regulation of inflammatory response	32/557	153/17913	6.88079042232753e-18	3.56566088295486e-16	2.64181494622427e-16	BTK/ITGAM/ITGB2/TLR7/TREM2/FCER1G/CCR2/PIK3CG/TLR4/PTGER4/C1QA/CD28/HLA-E/MYD88/NOD2/SUCNR1/CTSC/JAK2/CCR7/LTA/ETS1/IL1B/LILRA5/STAP1/GPSM3/PLA2G7/OSM/CD6/TLR10/TGM2/GBP5/IDO1	32	geneontology_Biological_Process	0.0574506283662478
GO:0071346	GO:0071346	cellular response to interferon-gamma	32/557	153/17913	6.88079042232753e-18	3.56566088295486e-16	2.64181494622427e-16	MRC1/AIF1/HCK/HLA-DRA/HLA-DPA1/HLA-DPB1/HLA-DRB1/HLA-DQA1/TLR4/CASP1/IRF8/WAS/PTAFR/TRIM22/SIRPA/CIITA/HLA-DQB1/CD44/IL12RB1/HLA-E/HLA-DQB2/B2M/IRF5/JAK2/CCL2/GBP2/GBP1/GBP4/NLRC5/GBP5/CCL5/IRF4	32	geneontology_Biological_Process	0.0574506283662478
GO:0042100	GO:0042100	B cell proliferation	23/557	71/17913	9.04077719813431e-18	4.62567359934923e-16	3.42718336158456e-16	MNDA/BTK/NCKAP1L/TYROBP/CD74/TLR4/PTPRC/MEF2C/TNFSF13B/CD300A/CD40/GPR183/IL7R/FCGR2B/NFATC2/INPP5D/CD40LG/CD22/CTLA4/PLCL2/FCRL3/IKZF3/MS4A1	23	geneontology_Biological_Process	0.0412926391382406
GO:0002822	GO:0002822	regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains	30/557	135/17913	1.2506701249868e-17	6.31901080649581e-16	4.68178487577296e-16	BTK/HAVCR2/CD4/CD80/NLRP3/FCER1G/CCR2/PTPRC/WAS/MEF2C/P2RX7/TNFSF13B/CD28/CD40/IL7R/FCGR2B/IL12RB1/TGFB1/CD274/HLA-E/CR1/B2M/FOXP3/LTA/TNFRSF1B/IL1B/SLC11A1/CCL19/TNFAIP3/TBX21	30	geneontology_Biological_Process	0.0538599640933573
GO:0060326	GO:0060326	cell chemotaxis	40/557	253/17913	1.75256611299045e-17	8.74552127000914e-16	6.47959790962681e-16	PTPRO/AIF1/NCKAP1L/C3AR1/ITGB2/CCR2/CD74/PIK3CG/CCL13/CCL23/RAC2/CCR5/CCR1/GPR183/IL16/CMKLR1/VAV1/CSF1/C5AR1/MPP1/PIK3CD/PREX1/CCR7/CCL2/SYK/STAP1/GPSM3/PLA2G7/TIAM1/CCL19/DOCK4/FPR2/CXCR4/PTK2B/CXCR3/CXCL10/BST1/CXCL11/CCL5/CXCL13	40	geneontology_Biological_Process	0.0718132854578097
GO:0045058	GO:0045058	T cell selection	19/557	45/17913	1.95138352847426e-17	9.61889295377192e-16	7.12668310463322e-16	CD4/SPN/DOCK2/CD74/PTPRC/CD28/IL12RB1/CD1D/CCR7/FOXP3/SYK/CD3E/THEMIS/CD3D/SLAMF6/BCL11B/TBX21/ZAP70/IRF4	19	geneontology_Biological_Process	0.0341113105924596
GO:0032612	GO:0032612	interleukin-1 production	27/557	108/17913	2.15996307876455e-17	1.05187599570678e-15	7.79339880670277e-16	CD33/NLRC4/HAVCR2/TYROBP/NLRP3/TREM2/TLR8/TLR4/CASP1/P2RX7/SIRPA/ACP5/CX3CR1/CARD16/NOD2/SUCNR1/JAK2/CCR7/IFI16/NLRP1/IL1B/LILRA5/ABCA1/CCL19/TNFAIP3/AIM2/GBP5	27	geneontology_Biological_Process	0.0484739676840215
GO:0032496	GO:0032496	response to lipopolysaccharide	43/557	295/17913	2.3558057470756e-17	1.13359128924757e-15	8.39883126620311e-16	LY86/MRC1/HAVCR2/HCK/NLRP3/TREM2/PTPN22/TLR4/CASP1/IRF8/PTGER4/CSF2RB/MEF2C/PTAFR/IL10RA/P2RX7/SIRPA/ACP5/CCR5/CD40/CD180/CX3CR1/CD14/CARD16/C5AR1/LILRB2/TGFB1/NOD2/JAK2/CCR7/CCL2/LTA/TNFRSF1B/IL1B/STAP1/SLC11A1/CD96/ABCA1/CD6/TNFAIP3/CXCL10/CCL5/IDO1	43	geneontology_Biological_Process	0.0771992818671454
GO:0002819	GO:0002819	regulation of adaptive immune response	31/557	150/17913	3.2710987516099e-17	1.55550366517732e-15	1.15247999360126e-15	BTK/HAVCR2/CD4/CD80/NLRP3/FCER1G/CCR2/PTPRC/WAS/MEF2C/P2RX7/TNFSF13B/SAMSN1/CD28/CD40/IL7R/FCGR2B/IL12RB1/TGFB1/CD274/HLA-E/CR1/B2M/FOXP3/LTA/TNFRSF1B/IL1B/SLC11A1/CCL19/TNFAIP3/TBX21	31	geneontology_Biological_Process	0.0556552962298025
GO:0032680	GO:0032680	regulation of tumor necrosis factor production	31/557	151/17913	3.99853117872601e-17	1.87930965400122e-15	1.39238937619039e-15	CD33/HAVCR2/CYBB/SPN/TYROBP/TREM2/FCER1G/CCR2/PTPN22/TLR4/PTPRC/PTAFR/SIRPA/ACP5/CX3CR1/CD14/GPNMB/HLA-E/TLR1/NOD2/JAK2/CD2/FOXP3/SLAMF1/LILRA5/CCL19/NLRC3/CARD9/TNFAIP3/RASGRP1/PTPRJ	31	geneontology_Biological_Process	0.0556552962298025
GO:0051250	GO:0051250	negative regulation of lymphocyte activation	29/557	132/17913	6.10118294823457e-17	2.83459557204186e-15	2.10016521327615e-15	MNDA/BTK/LST1/HAVCR2/SPN/TYROBP/VSIG4/CD74/PTPN22/SAMSN1/CD300A/PDCD1LG2/GPNMB/FCGR2B/LILRB2/TGFB1/CD274/INPP5D/BTN2A2/IL2RA/RUNX3/FOXP3/CTLA4/TIGIT/TNFAIP3/SLA2/TBX21/BANK1/IDO1	29	geneontology_Biological_Process	0.052064631956912
GO:0032640	GO:0032640	tumor necrosis factor production	31/557	155/17913	8.77926443058659e-17	4.03247577595807e-15	2.9876802996434e-15	CD33/HAVCR2/CYBB/SPN/TYROBP/TREM2/FCER1G/CCR2/PTPN22/TLR4/PTPRC/PTAFR/SIRPA/ACP5/CX3CR1/CD14/GPNMB/HLA-E/TLR1/NOD2/JAK2/CD2/FOXP3/SLAMF1/LILRA5/CCL19/NLRC3/CARD9/TNFAIP3/RASGRP1/PTPRJ	31	geneontology_Biological_Process	0.0556552962298025
GO:0042108	GO:0042108	positive regulation of cytokine biosynthetic process	21/557	63/17913	1.25271933464515e-16	5.68931634902888e-15	4.21524128570723e-15	CD4/CYBB/CD86/CD80/SPN/TYROBP/TLR7/CCR2/TLR8/TLR4/PTPRC/PTAFR/CD28/TLR1/EBI3/LTB/IL1B/SYK/CD3E/HMOX1/IRF4	21	geneontology_Biological_Process	0.0377019748653501
GO:0070664	GO:0070664	negative regulation of leukocyte proliferation	22/557	71/17913	1.37891233596129e-16	6.19284851328393e-15	4.58831063837412e-15	MNDA/BTK/LST1/HAVCR2/SPN/TYROBP/VSIG4/CD300A/PDCD1LG2/GPNMB/FCGR2B/LILRB2/TGFB1/CD274/INPP5D/BTN2A2/IL2RA/FOXP3/CTLA4/TNFAIP3/CCL8/IDO1	22	geneontology_Biological_Process	0.0394973070017953
GO:0071216	GO:0071216	cellular response to biotic stimulus	35/557	206/17913	1.90874702990442e-16	8.40471253777244e-15	6.22709111434219e-15	BTK/LY86/MRC1/HAVCR2/HCK/NLRP3/TREM2/PTPN22/TLR4/CASP1/IRF8/MEF2C/PTAFR/SIRPA/CCR5/CD40/CD180/CX3CR1/CD14/CARD16/FCGR2B/LILRB2/TGFB1/TLR1/NOD2/CCL2/TNFRSF1B/IL1B/SYK/STAP1/ABCA1/CD6/TNFAIP3/CXCL10/CCL5	35	geneontology_Biological_Process	0.0628366247755835
GO:1903708	GO:1903708	positive regulation of hemopoiesis	33/557	182/17913	1.91299741087349e-16	8.40471253777244e-15	6.22709111434219e-15	BTK/NCKAP1L/CD4/CD86/CD80/TYROBP/NLRP3/TREM2/CD83/EVI2B/CD74/PTPRC/TESPA1/PIK3R6/CCR1/IL7R/DCSTAMP/CSF1/IL12RB1/LILRB2/TGFB1/HCLS1/INPP5D/BTN2A2/IL2RA/LILRB4/RUNX3/FOXP3/ETS1/SYK/CCL19/RASGRP1/ZAP70	33	geneontology_Biological_Process	0.059245960502693
GO:0071219	GO:0071219	cellular response to molecule of bacterial origin	33/557	183/17913	2.26722071635424e-16	9.85387756505789e-15	7.30078431016165e-15	LY86/MRC1/HAVCR2/HCK/NLRP3/TREM2/PTPN22/TLR4/CASP1/IRF8/MEF2C/PTAFR/SIRPA/CCR5/CD40/CD180/CX3CR1/CD14/CARD16/FCGR2B/LILRB2/TGFB1/TLR1/NOD2/CCL2/TNFRSF1B/IL1B/STAP1/ABCA1/CD6/TNFAIP3/CXCL10/CCL5	33	geneontology_Biological_Process	0.059245960502693
GO:0098542	GO:0098542	defense response to other organism	54/557	481/17913	2.32335641369095e-16	9.99043257887107e-15	7.40195856321472e-15	NLRC4/HAVCR2/CD4/RNASE6/SPN/SAMHD1/TLR7/NLRP3/FGR/TLR8/TLR4/CLEC7A/IRF8/PTPRC/FGL2/MPEG1/TRIM22/P2RX7/ACP5/CD40/TNFSF8/C5AR1/LYZ/IL12RB1/TGFB1/HLA-E/RNASE2/APOBEC3G/IL2RA/MYD88/NOD2/IRF5/COTL1/IFI16/LTA/CD207/NLRP1/IL1B/SYK/SLC11A1/STAB1/GBP1/FPR2/CARD9/TNFAIP3/AIM2/CXCL10/NLRC5/BIRC3/PRF1/BATF2/CXCL9/IRF4/CXCL13	54	geneontology_Biological_Process	0.0969479353680431
GO:0019882	GO:0019882	antigen processing and presentation	36/557	220/17913	2.4260255270596e-16	1.03221001898683e-14	7.64769265870866e-15	CYBB/HLA-DRA/NCF2/HLA-DPA1/HLA-DPB1/HLA-DMB/NCF4/TREM2/HLA-DRB1/HLA-DQA1/CD74/HLA-DOA/FGL2/WAS/HLA-DMA/AP1S2/HLA-DQB1/CTSS/FCGR2B/LILRB2/HLA-E/HLA-DQB2/CD1D/B2M/NOD2/CCR7/RAB8B/CD207/RAB32/CD209/SLC11A1/RAB33A/CCL19/PSMB9/TAP1/CD8A	36	geneontology_Biological_Process	0.0646319569120287
GO:0050920	GO:0050920	regulation of chemotaxis	33/557	186/17913	3.7474986492599e-16	1.57785307711547e-14	1.16903877819566e-14	PTPRO/AIF1/NCKAP1L/C3AR1/P2RY12/TREM2/CCR2/CD74/RAC2/CCR1/GPR183/IL16/CMKLR1/CSF1/C5AR1/CCR4/TGFB1/MPP1/SUCNR1/CCR7/CCL2/STAP1/GPSM3/PLA2G7/TIAM1/CCL19/FPR2/CXCR4/PTK2B/CXCL10/BST1/CCL5/CXCL13	33	geneontology_Biological_Process	0.059245960502693
GO:0002687	GO:0002687	positive regulation of leukocyte migration	27/557	121/17913	4.82511248253612e-16	2.01062934581557e-14	1.48968475451061e-14	AIF1/NCKAP1L/C3AR1/SPN/P2RY12/TREM2/CCR2/CD74/DOCK8/RAC2/PTAFR/CCR1/CMKLR1/CSF1/C5AR1/ITGA4/TGFB1/CCR7/GPSM3/PLA2G7/CCL19/FPR2/PTK2B/CXCL10/CCL8/CCL5/CXCL13	27	geneontology_Biological_Process	0.0484739676840215
GO:0050715	GO:0050715	positive regulation of cytokine secretion	28/557	132/17913	5.57872581083034e-16	2.30093976809961e-14	1.70477711405073e-14	AIF1/CSF1R/HAVCR2/NLRP3/FGR/TLR8/PTPN22/CLEC5A/TLR4/CASP1/PTGER4/FCN1/P2RX7/CD14/CD274/TLR1/CRTAM/NOD2/CD2/NLRP1/IL1B/SYK/LILRA5/CD244/CCL19/OSM/RASGRP1/AIM2	28	geneontology_Biological_Process	0.0502692998204668
GO:0002573	GO:0002573	myeloid leukocyte differentiation	34/557	201/17913	5.96398918345304e-16	2.4349943716684e-14	1.80409880137415e-14	CSF1R/CD4/SPI1/OSCAR/TYROBP/TREM2/FCER1G/EVI2B/CD74/TLR4/GAB3/C1QC/MEF2C/NRROS/CCR1/GPR183/RASSF2/DCSTAMP/CSF1/MAFB/TGFB1/HCLS1/PIK3CD/INPP5D/LILRB4/MITF/CCR7/IFI16/SNX10/UBASH3B/LRRK1/CCL19/BATF2/IRF4	34	geneontology_Biological_Process	0.0610412926391382
GO:0045621	GO:0045621	positive regulation of lymphocyte differentiation	24/557	93/17913	6.03087875866547e-16	2.43768119425258e-14	1.80608948088455e-14	BTK/NCKAP1L/CD86/CD80/NLRP3/CD83/CD74/PTPRC/TESPA1/PIK3R6/IL7R/IL12RB1/LILRB2/TGFB1/INPP5D/BTN2A2/IL2RA/LILRB4/RUNX3/FOXP3/SYK/CCL19/RASGRP1/ZAP70	24	geneontology_Biological_Process	0.0430879712746858
GO:0002791	GO:0002791	regulation of peptide secretion	53/557	483/17913	1.18147648283973e-15	4.72824548875067e-14	3.50317935766444e-14	CD33/AIF1/CSF1R/HAVCR2/NLRP3/FGR/TREM2/TLR8/CD74/PTPN22/CLEC5A/TLR4/CASP1/PTGER4/FCN1/P2RX7/CD200R1/CD40/CD14/CARD16/FCGR2B/TGFB1/CD274/HLA-E/TLR1/BTN2A2/CRTAM/NOD2/JAK2/CD2/CCR7/RAB8B/CD40LG/FOXP3/TNFRSF1B/SRGN/NLRP1/IL1B/SYK/LILRA5/CD244/CD22/TIAM1/CCL19/GBP1/OSM/TNFAIP3/RASGRP1/TLR10/AIM2/APOE/BANK1/CCL5	53	geneontology_Biological_Process	0.0951526032315978
GO:0032623	GO:0032623	interleukin-2 production	20/557	62/17913	1.39238469382723e-15	5.46409605092202e-14	4.04837450581347e-14	HAVCR2/CD4/CD86/CD80/VSIG4/CD83/FCER1G/CCR2/PTPRC/CD28/FOXP3/IL1B/CD247/SLC11A1/CD3E/GBP1/CARD9/TNFAIP3/TBX21/IRF4	20	geneontology_Biological_Process	0.0359066427289048
GO:0032729	GO:0032729	positive regulation of interferon-gamma production	20/557	62/17913	1.39238469382723e-15	5.46409605092202e-14	4.04837450581347e-14	HAVCR2/HLA-DPA1/HLA-DPB1/TLR7/CCR2/TLR8/PTPN22/TLR4/IRF8/CD14/IL12RB1/CD2/EBI3/LTA/IL1B/CD244/SLC11A1/CD3E/SLAMF6/RASGRP1	20	geneontology_Biological_Process	0.0359066427289048
GO:0002705	GO:0002705	positive regulation of leukocyte mediated immunity	26/557	117/17913	1.88698824195088e-15	7.33385237881296e-14	5.43368577768246e-14	BTK/ITGAM/ITGB2/NLRP3/FGR/FCER1G/PTPRC/PTAFR/P2RX7/CD28/CD40/VAV1/IL12RB1/TGFB1/HLA-E/B2M/CRTAM/NOD2/FOXP3/LTA/SH2D1A/IL1B/SLAMF6/NCR3/RASGRP1/TBX21	26	geneontology_Biological_Process	0.0466786355475763
GO:0050708	GO:0050708	regulation of protein secretion	51/557	456/17913	1.93938704730181e-15	7.46571661447038e-14	5.53138461110139e-14	CD33/AIF1/CSF1R/HAVCR2/NLRP3/FGR/TREM2/TLR8/PTPN22/CLEC5A/TLR4/CASP1/PTGER4/FCN1/P2RX7/CD200R1/CD40/CD14/CARD16/FCGR2B/TGFB1/CD274/HLA-E/TLR1/BTN2A2/CRTAM/NOD2/JAK2/CD2/CCR7/CD40LG/FOXP3/TNFRSF1B/SRGN/NLRP1/IL1B/SYK/LILRA5/CD244/CD22/TIAM1/CCL19/GBP1/OSM/TNFAIP3/RASGRP1/TLR10/AIM2/APOE/BANK1/CCL5	51	geneontology_Biological_Process	0.0915619389587074
GO:0030099	GO:0030099	myeloid cell differentiation	48/557	411/17913	2.53657587796722e-15	9.67249028183349e-14	7.16639361749428e-14	NCKAP1L/RASGRP4/CSF1R/CD4/SPI1/OSCAR/TYROBP/TREM2/FCER1G/EVI2B/CD74/CLEC5A/TLR4/IRF8/GAB3/C1QC/MEF2C/IKZF1/NRROS/CCR1/GPR183/RASSF2/KAT2B/DCSTAMP/CSF1/FLI1/MAFB/TGFB1/PRKCB/HCLS1/PIK3CD/INPP5D/B2M/LILRB4/MITF/JAK2/CCR7/IFI16/ETS1/SNX10/UBASH3B/PIP4K2A/LRRK1/CCL19/PTK2B/GPR171/BATF2/IRF4	48	geneontology_Biological_Process	0.0861759425493716
GO:0050921	GO:0050921	positive regulation of chemotaxis	27/557	130/17913	3.25975684487961e-15	1.23139599691621e-13	9.12347095295868e-14	AIF1/NCKAP1L/C3AR1/P2RY12/TREM2/CCR2/CD74/RAC2/CCR1/IL16/CMKLR1/CSF1/C5AR1/CCR4/TGFB1/SUCNR1/CCR7/GPSM3/PLA2G7/TIAM1/CCL19/FPR2/CXCR4/PTK2B/CXCL10/CCL5/CXCL13	27	geneontology_Biological_Process	0.0484739676840215
GO:0030888	GO:0030888	regulation of B cell proliferation	19/557	57/17913	3.60135082052093e-15	1.34783889042089e-13	9.98620183662967e-14	MNDA/BTK/NCKAP1L/TYROBP/CD74/TLR4/PTPRC/MEF2C/TNFSF13B/CD300A/CD40/GPR183/FCGR2B/NFATC2/INPP5D/CD22/CTLA4/FCRL3/IKZF3	19	geneontology_Biological_Process	0.0341113105924596
GO:0042035	GO:0042035	regulation of cytokine biosynthetic process	25/557	110/17913	3.76814674630921e-15	1.39732560996163e-13	1.03528512730562e-13	CD4/CYBB/CD86/CD80/SPN/TYROBP/TLR7/CCR2/TLR8/TLR4/PTPRC/PTAFR/CD28/CX3CR1/INPP5D/TLR1/EBI3/FOXP3/LTB/IL1B/SYK/CD3E/CARD9/HMOX1/IRF4	25	geneontology_Biological_Process	0.0448833034111311
GO:0032945	GO:0032945	negative regulation of mononuclear cell proliferation	20/557	65/17913	3.92921667596165e-15	1.43080124362496e-13	1.0600873819925e-13	MNDA/BTK/LST1/HAVCR2/SPN/TYROBP/VSIG4/CD300A/PDCD1LG2/GPNMB/FCGR2B/LILRB2/TGFB1/CD274/INPP5D/BTN2A2/IL2RA/FOXP3/CTLA4/IDO1	20	geneontology_Biological_Process	0.0359066427289048
GO:0050672	GO:0050672	negative regulation of lymphocyte proliferation	20/557	65/17913	3.92921667596165e-15	1.43080124362496e-13	1.0600873819925e-13	MNDA/BTK/LST1/HAVCR2/SPN/TYROBP/VSIG4/CD300A/PDCD1LG2/GPNMB/FCGR2B/LILRB2/TGFB1/CD274/INPP5D/BTN2A2/IL2RA/FOXP3/CTLA4/IDO1	20	geneontology_Biological_Process	0.0359066427289048
GO:0043410	GO:0043410	positive regulation of MAPK cascade	53/557	499/17913	4.6396370853076e-15	1.67441188382262e-13	1.24057965297934e-13	CSF1R/HAVCR2/CD4/FGD2/TREM2/CD74/PTPN22/PIK3CG/TLR4/PIK3R5/PTPRC/GLIPR2/MARCO/ZEB2/PIK3R6/P2RX7/GNAI2/CCR1/CD40/GPR183/RASSF2/GPNMB/CD44/C5AR1/FPR1/FCGR2B/TGFB1/ADRB2/PEA15/MAP3K3/NOD2/JAK2/CCR7/CD40LG/SLAMF1/IL1B/SYK/LILRA5/TIAM1/CCL19/FPR2/OSM/PDE6G/MAP4K1/CARD9/RASGRP1/CXCR4/PTPRJ/PTK2B/FCRL3/APOE/BANK1/SEMA7A	53	geneontology_Biological_Process	0.0951526032315978
