dynamicColors	mergedColors
SLC22A15	grey	grey
SLC22A16	grey	grey
SLC22A17	grey	grey
SLC22A18	grey	grey
SLC22A23	turquoise	pink
SLC22A3	blue	blue
SLC22A31	blue	blue
SLC22A4	black	black
SLC22A5	turquoise	pink
SLC23A1	black	black
SLC23A2	turquoise	pink
SLC23A3	brown	brown
SLC24A1	turquoise	pink
SLC24A2	green	green
SLC24A3	grey	grey
SLC24A4	grey	grey
SLC25A11	turquoise	pink
SLC25A12	grey	grey
SLC25A13	blue	blue
SLC25A14	brown	brown
SLC25A16	grey	grey
SLC25A17	grey	grey
SLC25A18	grey	grey
SLC25A2	grey	grey
SLC25A20	grey	grey
SLC25A21	grey	grey
SLC25A22	turquoise	pink
SLC25A23	turquoise	pink
SLC25A24	pink	pink
SLC25A26	turquoise	pink
SLC25A27	brown	brown
SLC25A28	brown	brown
SLC25A3	blue	blue
SLC25A30	turquoise	pink
SLC25A34	brown	brown
SLC25A35	grey	grey
SLC25A36	brown	brown
SLC25A37	grey	grey
SLC25A38	turquoise	pink
SLC25A39	blue	blue
SLC25A4	grey	grey
SLC25A40	pink	pink
SLC25A41	grey	grey
SLC25A42	brown	brown
SLC25A43	grey	grey
SLC25A44	turquoise	pink
SLC25A46	turquoise	pink
SLC25A47	grey	grey
SLC25A48	grey	grey
SLC25A53	grey	grey
SLC25A6	brown	brown
SLC26A1	brown	brown
SLC26A11	brown	brown
SLC26A2	grey	grey
SLC26A3	grey	grey
SLC26A6	brown	brown
SLC26A7	grey	grey
SLC26A8	grey	grey
SLC26A9	blue	blue
SLC27A1	blue	blue
SLC27A2	grey	grey
SLC27A3	red	red
SLC27A4	turquoise	pink
SLC27A5	grey	grey
SLC27A6	grey	grey
SLC28A1	grey	grey
SLC28A2	grey	grey
SLC28A3	grey	grey
SLC29A1	turquoise	pink
SLC29A2	brown	brown
SLC29A3	yellow	magenta
SLC29A4	grey	grey
SLC2A1	blue	blue
SLC2A10	grey	grey
SLC2A11	brown	brown
SLC2A13	turquoise	pink
SLC2A3	grey	grey
SLC2A4	grey	grey
SLC2A4RG	grey	grey
SLC2A5	yellow	magenta
SLC2A6	yellow	magenta
SLC2A8	turquoise	pink
SLC2A9	yellow	magenta
SLC30A1	turquoise	pink
SLC30A10	grey	grey
SLC30A2	grey	grey
SLC30A3	grey	grey
SLC30A4	green	green
SLC30A5	turquoise	pink
SLC30A6	blue	blue
SLC30A7	blue	blue
SLC30A8	grey	grey
SLC30A9	turquoise	pink
SLC31A1	grey	grey
SLC33A1	grey	grey
SLC34A1	grey	grey
SLC34A2	blue	blue
SLC34A3	grey	grey
SLC35A1	grey	grey
SLC35A2	grey	grey
SLC35A3	turquoise	pink
SLC35A4	turquoise	pink
SLC35A5	pink	pink
SLC35B1	turquoise	pink
SLC35B2	blue	blue
SLC35B3	turquoise	pink
SLC35B4	pink	pink
SLC35C1	grey	grey
SLC35C2	brown	brown
SLC35D1	turquoise	pink
SLC35D2	grey	grey
SLC35D3	grey	grey
SLC35E1	turquoise	pink
SLC35E3	grey	grey
SLC35E4	grey	grey
SLC35F1	grey	grey
SLC35F2	grey	grey
SLC35F3	grey	grey
SLC35F4	grey	grey
SLC35F5	turquoise	pink
SLC35F6	turquoise	pink
SLC35G1	grey	grey
SLC35G2	grey	grey
SLC36A1	yellow	magenta
SLC36A4	blue	blue
SLC37A1	turquoise	pink
SLC37A2	yellow	magenta
SLC37A3	pink	pink
SLC37A4	grey	grey
SLC38A1	blue	blue
SLC38A10	brown	brown
SLC38A11	grey	grey
SLC38A2	grey	grey
SLC38A3	grey	grey
SLC38A4	grey	grey
SLC38A5	grey	grey
SLC38A6	grey	grey
SLC38A7	turquoise	pink
SLC38A9	turquoise	pink
SLC39A10	turquoise	pink
SLC39A11	turquoise	pink
SLC39A12	grey	grey
SLC39A13	brown	brown
SLC39A14	blue	blue
SLC39A2	grey	grey
SLC39A3	grey	grey
SLC39A4	grey	grey
SLC39A5	grey	grey
SLC39A6	turquoise	pink
SLC39A7	turquoise	pink
SLC39A8	grey	grey
SLC39A9	turquoise	pink
SLC3A2	grey	grey
SLC40A1	grey	grey
SLC41A1	turquoise	pink
SLC41A2	grey	grey
SLC41A3	grey	grey
SLC43A1	grey	grey
SLC43A2	grey	grey
SLC43A3	grey	grey
SLC44A1	grey	grey
SLC44A2	turquoise	pink
SLC44A3	grey	grey
SLC44A4	blue	blue
SLC44A5	grey	grey
SLC45A1	grey	grey
SLC45A2	grey	grey
SLC45A3	grey	grey
SLC45A4	turquoise	pink
SLC46A1	turquoise	pink
SLC46A3	grey	grey
SLC47A1	grey	grey
SLC47A2	grey	grey
SLC48A1	grey	grey
SLC4A1	grey	grey
SLC4A10	grey	grey
SLC4A11	grey	grey
SLC4A3	grey	grey
SLC4A4	grey	grey
SLC4A7	turquoise	pink
SLC4A8	grey	grey
SLC4A9	grey	grey
SLC50A1	turquoise	pink
SLC51B	grey	grey
SLC52A1	grey	grey
SLC52A2	blue	blue
SLC52A3	grey	grey
SLC5A1	grey	grey
SLC5A10	grey	grey
SLC5A11	grey	grey
SLC5A12	grey	grey
SLC5A3	turquoise	pink
SLC5A4	red	red
SLC5A5	grey	grey
SLC5A6	turquoise	pink
SLC5A7	grey	grey
SLC5A8	grey	grey
SLC5A9	red	red
SLC6A1	grey	grey
SLC6A11	grey	grey
SLC6A12	grey	grey
SLC6A13	grey	grey
SLC6A14	grey	grey
SLC6A15	blue	blue
SLC6A16	brown	brown
SLC6A17	grey	grey
SLC6A2	grey	grey
SLC6A20	grey	grey
SLC6A3	grey	grey
SLC6A4	red	red
SLC6A6	turquoise	pink
SLC6A7	grey	grey
SLC6A9	grey	grey
SLC7A1	blue	blue
SLC7A11	grey	grey
SLC7A14	grey	grey
SLC7A2	grey	grey
SLC7A3	grey	grey
SLC7A4	grey	grey
SLC7A5	blue	blue
SLC7A6	turquoise	pink
SLC7A7	yellow	magenta
SLC7A8	grey	grey
SLC7A9	grey	grey
SLC8A1	yellow	magenta
SLC8A2	grey	grey
SLC8A3	grey	grey
SLC8B1	turquoise	pink
SLC9A1	turquoise	pink
SLC9A2	grey	grey
SLC9A3R1	grey	grey
SLC9A3R2	grey	grey
SLC9A5	brown	brown
SLC9A6	turquoise	pink
SLC9A7	grey	grey
SLC9A8	turquoise	pink
SLC9A9	yellow	magenta
SLC9B2	grey	grey
SLC9C2	black	black
SLCO1A2	grey	grey
SLCO1B3	grey	grey
SLCO1C1	grey	grey
SLCO2A1	red	red
SLCO2B1	yellow	magenta
SLCO3A1	grey	grey
SLCO4A1	grey	grey
SLCO4C1	grey	grey
SLCO5A1	grey	grey
SLFN13	grey	grey
SLFN5	turquoise	pink
SLIT1	grey	grey
SLIT2	green	green
SLIT3	red	red
SLITRK2	grey	grey
SLITRK3	grey	grey
SLITRK4	grey	grey
SLITRK5	grey	grey
SLITRK6	grey	grey
SLK	turquoise	pink
SLMAP	turquoise	pink
SLN	grey	grey
SLPI	blue	blue
SLTM	turquoise	pink
SLU7	turquoise	pink
SLX4	turquoise	pink
SLX4IP	turquoise	pink
SMAD1	turquoise	pink
SMAD2	turquoise	pink
SMAD3	turquoise	pink
SMAD4	turquoise	pink
SMAD5	turquoise	pink
SMAD6	red	red
SMAD7	grey	grey
SMAD9	grey	grey
SMAGP	grey	grey
SMAP2	yellow	magenta
SMARCA1	turquoise	pink
SMARCA2	turquoise	pink
SMARCA4	turquoise	pink
SMARCA5	turquoise	pink
SMARCAD1	turquoise	pink
SMARCAL1	turquoise	pink
SMARCB1	blue	blue
SMARCC1	turquoise	pink
SMARCC2	turquoise	pink
SMARCD1	turquoise	pink
SMARCD2	turquoise	pink
SMARCD3	grey	grey
SMARCE1	brown	brown
SMC1A	turquoise	pink
SMC1B	grey	grey
SMC2	blue	blue
SMC3	turquoise	pink
SMC4	pink	pink
SMC5	turquoise	pink
SMC6	turquoise	pink
SMCHD1	turquoise	pink
SMCO1	grey	grey
SMCO4	grey	grey
SMCR8	turquoise	pink
SMDT1	grey	grey
SMG1	turquoise	pink
SMG5	turquoise	pink
SMG7	turquoise	pink
SMG9	brown	brown
SMIM1	grey	grey
SMIM10	grey	grey
SMIM12	grey	grey
SMIM13	blue	blue
SMIM14	turquoise	pink
SMIM15	turquoise	pink
SMIM17	grey	grey
SMIM19	grey	grey
SMIM20	turquoise	pink
SMIM24	grey	grey
SMIM3	grey	grey
SMIM4	grey	grey
SMIM5	grey	grey
SMIM6	grey	grey
SMIM7	grey	grey
SMIM8	grey	grey
SMKR1	grey	grey
SMNDC1	blue	blue
SMO	grey	grey
SMOC1	grey	grey
SMOC2	green	green
SMOX	grey	grey
SMPD1	turquoise	pink
SMPD2	grey	grey
SMPD3	grey	grey
SMPDL3A	grey	grey
SMPDL3B	grey	grey
SMPX	grey	grey
SMTN	grey	grey
SMTNL1	grey	grey
SMTNL2	grey	grey
SMU1	pink	pink
SMUG1	blue	blue
SMURF1	turquoise	pink
SMURF2	turquoise	pink
SMYD2	grey	grey
SMYD3	grey	grey
SMYD4	turquoise	pink
SMYD5	turquoise	pink
SNAI1	green	green
SNAI2	green	green
SNAI3	magenta	magenta
SNAP25	grey	grey
SNAP29	turquoise	pink
SNAP47	turquoise	pink
SNAP91	grey	grey
SNAPC1	blue	blue
SNAPC2	grey	grey
SNAPC3	blue	blue
SNAPC4	turquoise	pink
SNAPC5	grey	grey
SNAPIN	grey	grey
SNCA	grey	grey
SNCAIP	grey	grey
SNCB	grey	grey
SNCG	grey	grey
SND1	turquoise	pink
SNED1	blue	blue
SNF8	blue	blue
SNIP1	turquoise	pink
SNN	turquoise	pink
SNPH	grey	grey
SNRK	red	red
SNRNP200	turquoise	pink
SNRNP25	grey	grey
SNRNP27	blue	blue
SNRNP35	brown	brown
SNRNP40	pink	pink
SNRNP48	brown	brown
SNRNP70	brown	brown
SNRPA	blue	blue
SNRPB	blue	blue
SNRPD1	blue	blue
SNRPE	blue	blue
SNTA1	grey	grey
SNTB1	grey	grey
SNTB2	turquoise	pink
SNTG2	grey	grey
SNTN	black	black
SNW1	pink	pink
SNX1	turquoise	pink
SNX10	yellow	magenta
SNX11	grey	grey
SNX12	grey	grey
SNX13	turquoise	pink
SNX14	grey	grey
SNX16	grey	grey
SNX17	blue	blue
SNX18	turquoise	pink
SNX19	turquoise	pink
SNX2	turquoise	pink
SNX20	yellow	magenta
SNX21	grey	grey
SNX22	grey	grey
SNX24	turquoise	pink
SNX25	turquoise	pink
SNX27	turquoise	pink
SNX29	turquoise	pink
SNX3	grey	grey
SNX30	turquoise	pink
SNX31	grey	grey
SNX32	grey	grey
SNX33	turquoise	pink
SNX4	pink	pink
SNX5	grey	grey
SNX6	blue	blue
SNX7	grey	grey
SNX8	grey	grey
SNX9	turquoise	pink
SOAT1	turquoise	pink
SOAT2	grey	grey
SOBP	grey	grey
SOCS1	grey	grey
SOCS2	grey	grey
SOCS3	grey	grey
SOCS4	pink	pink
SOCS5	turquoise	pink
SOCS6	turquoise	pink
SOCS7	turquoise	pink
SOD1	grey	grey
SOD2	yellow	magenta
SOD3	grey	grey
SOGA1	turquoise	pink
SOHLH1	grey	grey
SOHLH2	grey	grey
SON	turquoise	pink
SORBS1	red	red
SORBS2	grey	grey
SORBS3	red	red
SORCS1	grey	grey
SORCS2	grey	grey
SORCS3	grey	grey
SORD	grey	grey
SORL1	turquoise	pink
SORT1	turquoise	pink
SOS1	turquoise	pink
SOS2	turquoise	pink
SOST	grey	grey
SOSTDC1	red	red
SOWAHA	grey	grey
SOWAHC	turquoise	pink
SOX10	black	black
SOX11	grey	grey
SOX12	turquoise	pink
SOX13	turquoise	pink
SOX15	grey	grey
SOX17	red	red
SOX18	red	red
SOX2	grey	grey
SOX21	grey	grey
SOX30	grey	grey
SOX4	turquoise	pink
SOX5	grey	grey
SOX6	grey	grey
SOX7	red	red
SOX8	grey	grey
SOX9	grey	grey
SP1	turquoise	pink
SP100	grey	grey
SP110	grey	grey
SP140	magenta	magenta
SP140L	turquoise	pink
SP2	turquoise	pink
SP3	turquoise	pink
SP4	turquoise	pink
SP5	grey	grey
SP6	blue	blue
SP7	grey	grey
SP8	grey	grey
SPACA3	grey	grey
SPACA4	brown	brown
SPAG1	grey	grey
SPAG16	grey	grey
SPAG4	grey	grey
SPAG5	blue	blue
SPAG6	black	black
SPAG7	grey	grey
SPAG8	black	black
SPAG9	turquoise	pink
SPARC	green	green
SPARCL1	red	red
SPAST	blue	blue
SPATA12	grey	grey
SPATA13	turquoise	pink
SPATA17	black	black
SPATA18	black	black
SPATA2	turquoise	pink
SPATA21	grey	grey
SPATA24	grey	grey
SPATA25	brown	brown
SPATA2L	brown	brown
SPATA32	turquoise	pink
SPATA33	black	black
SPATA4	black	black
SPATA45	grey	grey
SPATA5	turquoise	pink
SPATA5L1	blue	blue
SPATA6	black	black
SPATA6L	brown	brown
SPATA9	grey	grey
SPATC1	magenta	magenta
SPATC1L	grey	grey
SPATS2	blue	blue
SPATS2L	grey	grey
SPC24	blue	blue
SPC25	blue	blue
SPCS1	grey	grey
SPCS2	grey	grey
SPCS3	turquoise	pink
SPDEF	grey	grey
SPDL1	blue	blue
SPDYA	brown	brown
SPECC1	turquoise	pink
SPECC1L	turquoise	pink
SPEF1	black	black
SPEF2	black	black
SPEG	grey	grey
SPEN	turquoise	pink
SPESP1	grey	grey
SPG11	turquoise	pink
SPG21	turquoise	pink
SPG7	brown	brown
SPHK1	green	green
SPHKAP	grey	grey
SPI1	yellow	magenta
SPIB	magenta	magenta
SPICE1	brown	brown
SPIDR	turquoise	pink
SPIN1	pink	pink
SPIN2A	grey	grey
SPIN3	brown	brown
SPIN4	blue	blue
SPINK1	grey	grey
SPINK2	grey	grey
SPINK4	grey	grey
SPINK5	grey	grey
SPINK6	grey	grey
SPINK7	grey	grey
SPINT1	turquoise	pink
SPIRE1	turquoise	pink
SPIRE2	brown	brown
SPN	yellow	magenta
SPNS3	grey	grey
SPOCD1	grey	grey
SPOCK1	green	green
SPOCK2	magenta	magenta
SPOCK3	grey	grey
SPON1	green	green
SPON2	grey	grey
SPOP	turquoise	pink
SPOPL	turquoise	pink
SPP1	grey	grey
SPP2	grey	grey
SPPL2A	turquoise	pink
SPPL2B	brown	brown
SPPL3	turquoise	pink
SPR	grey	grey
SPRED1	yellow	magenta
SPRED2	turquoise	pink
SPRED3	grey	grey
SPRR1B	grey	grey
SPRR3	grey	grey
SPRTN	turquoise	pink
SPRY1	red	red
SPRY2	turquoise	pink
SPRY3	grey	grey
SPRY4	grey	grey
SPRYD3	turquoise	pink
SPRYD4	grey	grey
SPRYD7	grey	grey
SPSB1	grey	grey
SPSB2	grey	grey
SPSB4	grey	grey
SPTAN1	turquoise	pink
SPTB	grey	grey
SPTBN1	turquoise	pink
SPTBN2	turquoise	pink
SPTBN5	brown	brown
SPTLC1	pink	pink
SPTLC2	turquoise	pink
SPTLC3	grey	grey
SPTSSA	grey	grey
SPTSSB	grey	grey
SPTY2D1	turquoise	pink
SPX	grey	grey
SQLE	blue	blue
SQSTM1	grey	grey
SRA1	grey	grey
SRBD1	turquoise	pink
SRC	turquoise	pink
SRCAP	turquoise	pink
SRCIN1	brown	brown
SRD5A1	grey	grey
SRD5A2	black	black
SRD5A3	grey	grey
SREBF1	turquoise	pink
SREBF2	turquoise	pink
SREK1	turquoise	pink
SREK1IP1	turquoise	pink
SRF	turquoise	pink
SRFBP1	turquoise	pink
SRGAP1	blue	blue
SRGAP2	turquoise	pink
SRGAP3	black	black
SRGN	yellow	magenta
SRI	grey	grey
SRL	red	red
SRM	blue	blue
SRMS	grey	grey
SRP19	turquoise	pink
SRP54	blue	blue
SRP68	turquoise	pink
SRP72	blue	blue
SRP9	blue	blue
SRPK2	pink	pink
SRPK3	grey	grey
SRPRB	pink	pink
SRPX	red	red
SRPX2	grey	grey
SRR	grey	grey
SRRM2	turquoise	pink
SRRM3	grey	grey
SRRM4	grey	grey
SRRM5	brown	brown
SRRT	turquoise	pink
SRSF1	turquoise	pink
SRSF10	turquoise	pink
SRSF11	brown	brown
SRSF12	blue	blue
SRSF2	blue	blue
SRSF3	blue	blue
SRSF4	turquoise	pink
SRSF5	brown	brown
SRSF6	brown	brown
SRSF7	blue	blue
SRSF8	turquoise	pink
SS18	turquoise	pink
SS18L1	brown	brown
SS18L2	grey	grey
SSBP1	blue	blue
SSBP2	turquoise	pink
SSBP3	turquoise	pink
SSBP4	brown	brown
SSC4D	grey	grey
SSC5D	green	green
SSH1	turquoise	pink
SSH2	turquoise	pink
SSH3	brown	brown
SSPN	green	green
SSPO	brown	brown
SSR1	turquoise	pink
SSR2	turquoise	pink
SSR3	pink	pink
SSR4	pink	pink
SSRP1	turquoise	pink
SSTR1	red	red
SSTR2	grey	grey
SSTR3	magenta	magenta
SSU72	grey	grey
SSUH2	black	black
SSX2IP	blue	blue
ST14	turquoise	pink
ST18	grey	grey
ST20	brown	brown
ST3GAL1	grey	grey
ST3GAL2	yellow	magenta
ST3GAL3	brown	brown
ST3GAL4	grey	grey
ST3GAL5	blue	blue
ST3GAL6	grey	grey
ST6GAL1	grey	grey
ST6GAL2	grey	grey
ST6GALNAC1	grey	grey
ST6GALNAC3	grey	grey
ST6GALNAC4	grey	grey
ST6GALNAC5	green	green
ST7	grey	grey
ST7L	brown	brown
ST8SIA1	grey	grey
ST8SIA2	grey	grey
ST8SIA4	yellow	magenta
ST8SIA5	grey	grey
STAB1	yellow	magenta
STAB2	red	red
STAC	yellow	magenta
STAC2	grey	grey
STAC3	yellow	magenta
STAG1	pink	pink
STAG2	turquoise	pink
STAG3	grey	grey
STAM	blue	blue
STAM2	turquoise	pink
STAMBP	blue	blue
STAMBPL1	magenta	magenta
STAP1	magenta	magenta
STAP2	grey	grey
STARD10	grey	grey
STARD13	green	green
STARD3	turquoise	pink
STARD3NL	blue	blue
STARD4	turquoise	pink
STARD6	grey	grey
STARD7	pink	pink
STARD8	red	red
STARD9	brown	brown
STAT1	magenta	magenta
STAT2	pink	pink
STAT3	turquoise	pink
STAT5A	yellow	magenta
STAT5B	turquoise	pink
STAT6	turquoise	pink
STAU1	turquoise	pink
STAU2	blue	blue
STC1	blue	blue
STC2	blue	blue
STEAP1B	blue	blue
STEAP2	grey	grey
STEAP3	grey	grey
STEAP4	grey	grey
STIL	blue	blue
STIM1	turquoise	pink
STIM2	turquoise	pink
STK10	yellow	magenta
STK11	brown	brown
STK11IP	brown	brown
STK16	grey	grey
STK17A	grey	grey
STK17B	grey	grey
STK19	brown	brown
STK24	pink	pink
STK25	brown	brown
STK26	grey	grey
STK3	pink	pink
STK31	grey	grey
STK32A	grey	grey
STK32B	grey	grey
STK32C	grey	grey
STK33	black	black
STK35	turquoise	pink
STK36	brown	brown
STK38	pink	pink
STK38L	pink	pink
STK39	turquoise	pink
STK4	yellow	magenta
STK40	turquoise	pink
STKLD1	brown	brown
STMN1	blue	blue
STMN2	grey	grey
STMN3	grey	grey
STOM	grey	grey
STOML1	grey	grey
STOML2	blue	blue
STOML3	black	black
STON1	green	green
STON2	grey	grey
STOX1	black	black
STOX2	turquoise	pink
STPG1	black	black
STPG2	grey	grey
STRA6	grey	grey
STRADA	brown	brown
STRADB	grey	grey
STRBP	turquoise	pink
STRIP1	brown	brown
STRIP2	blue	blue
STRN	turquoise	pink
STRN3	blue	blue
STRN4	turquoise	pink
STS	grey	grey
STT3A	turquoise	pink
STT3B	turquoise	pink
STX10	grey	grey
STX11	yellow	magenta
STX12	yellow	magenta
STX16	brown	brown
STX17	turquoise	pink
STX18	turquoise	pink
STX19	grey	grey
STX1A	grey	grey
STX1B	grey	grey
STX2	grey	grey
STX3	turquoise	pink
STX4	brown	brown
STX5	turquoise	pink
STX6	turquoise	pink
STX7	turquoise	pink
STX8	grey	grey
STXBP1	turquoise	pink
STXBP2	brown	brown
STXBP3	pink	pink
STXBP4	turquoise	pink
STXBP5	pink	pink
STXBP5L	grey	grey
STXBP6	red	red
STYK1	grey	grey
STYX	pink	pink
STYXL1	grey	grey
SUB1	blue	blue
SUCLA2	pink	pink
SUCLG1	blue	blue
SUCLG2	turquoise	pink
SUCNR1	yellow	magenta
SUCO	turquoise	pink
SUDS3	turquoise	pink
SUFU	turquoise	pink
SUGCT	green	green
SUGP1	turquoise	pink
SUGP2	brown	brown
SUGT1	turquoise	pink
SULF1	green	green
SULF2	green	green
SULT1A1	grey	grey
SULT1B1	grey	grey
SULT1C2	grey	grey
SULT1C4	red	red
SULT4A1	grey	grey
SUMF1	grey	grey
SUMF2	grey	grey
SUMO1	blue	blue
SUMO2	blue	blue
SUMO3	grey	grey
SUN1	turquoise	pink
SUN3	grey	grey
SUOX	brown	brown
SUPT16H	turquoise	pink
SUPT20H	brown	brown
SUPT3H	blue	blue
SUPT5H	turquoise	pink
SUPT6H	turquoise	pink
SUPT7L	brown	brown
SUPV3L1	turquoise	pink
SURF1	grey	grey
SURF2	turquoise	pink
SURF4	turquoise	pink
SURF6	turquoise	pink
SUSD1	turquoise	pink
SUSD2	blue	blue
SUSD3	yellow	magenta
SUSD4	grey	grey
SUSD5	grey	grey
SUSD6	yellow	magenta
SUV39H1	blue	blue
SUV39H2	blue	blue
SUZ12	turquoise	pink
SV2A	blue	blue
SV2B	grey	grey
SV2C	grey	grey
SVEP1	green	green
SVIL	turquoise	pink
SVIP	grey	grey
SVOP	grey	grey
SVOPL	grey	grey
SWAP70	turquoise	pink
SWI5	grey	grey
SWSAP1	brown	brown
SWT1	turquoise	pink
SYAP1	turquoise	pink
SYBU	grey	grey
SYCE1L	grey	grey
SYCE3	grey	grey
SYCP2	grey	grey
SYCP2L	grey	grey
SYCP3	brown	brown
SYDE1	green	green
SYDE2	turquoise	pink
SYF2	turquoise	pink
SYK	yellow	magenta
SYMPK	turquoise	pink
SYN1	grey	grey
SYN2	grey	grey
SYN3	grey	grey
SYNCRIP	turquoise	pink
SYNDIG1	green	green
SYNDIG1L	grey	grey
SYNE1	red	red
SYNE2	turquoise	pink
SYNE3	yellow	magenta
SYNE4	grey	grey
SYNGAP1	brown	brown
SYNGR1	grey	grey
SYNGR2	grey	grey
SYNGR3	grey	grey
SYNGR4	grey	grey
SYNJ1	turquoise	pink
SYNJ2	blue	blue
SYNJ2BP	turquoise	pink
SYNM	red	red
SYNPO	red	red
SYNPO2	green	green
SYNPO2L	grey	grey
SYNPR	grey	grey
SYNRG	turquoise	pink
SYP	grey	grey
SYPL1	grey	grey
SYPL2	grey	grey
SYS1	grey	grey
SYT1	grey	grey
SYT11	green	green
SYT12	grey	grey
SYT13	grey	grey
SYT14	grey	grey
SYT16	grey	grey
SYT17	grey	grey
SYT4	grey	grey
SYT5	grey	grey
SYT6	grey	grey
SYT7	grey	grey
SYT8	grey	grey
SYT9	grey	grey
SYTL1	brown	brown
SYTL2	grey	grey
SYTL4	turquoise	pink
SYTL5	grey	grey
SYVN1	turquoise	pink
SZRD1	turquoise	pink
SZT2	brown	brown
TAB1	turquoise	pink
TAB2	turquoise	pink
TAB3	turquoise	pink
TAC3	grey	grey
TACC1	red	red
TACC2	turquoise	pink
TACC3	blue	blue
TACO1	blue	blue
TACR1	grey	grey
TACR2	grey	grey
TACSTD2	grey	grey
TADA1	blue	blue
TADA2A	turquoise	pink
TADA2B	turquoise	pink
TADA3	turquoise	pink
TAF1	turquoise	pink
TAF10	brown	brown
TAF11	blue	blue
TAF12	grey	grey
TAF13	blue	blue
TAF15	turquoise	pink
TAF1A	turquoise	pink
TAF1B	blue	blue
TAF1C	brown	brown
TAF1D	brown	brown
TAF2	blue	blue
TAF3	turquoise	pink
TAF4	turquoise	pink
TAF4B	grey	grey
TAF5	turquoise	pink
TAF5L	turquoise	pink
TAF6L	brown	brown
TAF7	turquoise	pink
TAF7L	grey	grey
TAF8	turquoise	pink
TAF9	blue	blue
TAF9B	turquoise	pink
TAGAP	yellow	magenta
TAGLN2	grey	grey
TAGLN3	grey	grey
TAL1	red	red
TAL2	grey	grey
TALDO1	grey	grey
TAMM41	brown	brown
TANC1	turquoise	pink
TANC2	turquoise	pink
TANGO6	turquoise	pink
TANK	blue	blue
TAOK1	turquoise	pink
TAOK2	turquoise	pink
TAOK3	turquoise	pink
TAP1	magenta	magenta
TAP2	magenta	magenta
TAPBP	grey	grey
TAPBPL	grey	grey
TAPT1	brown	brown
TARBP1	brown	brown
TARBP2	blue	blue
TARDBP	turquoise	pink
TARS2	turquoise	pink
TAS1R1	grey	grey
TAS2R10	brown	brown
TAS2R13	grey	grey
TAS2R14	brown	brown
TAS2R3	grey	grey
TAS2R4	brown	brown
TAS2R5	brown	brown
TAS2R50	grey	grey
TASP1	turquoise	pink
TAT	grey	grey
TATDN2	turquoise	pink
TATDN3	turquoise	pink
TAX1BP1	turquoise	pink
TAX1BP3	grey	grey
TAZ	brown	brown
TBC1D1	grey	grey
TBC1D10A	grey	grey
TBC1D10B	turquoise	pink
TBC1D10C	magenta	magenta
TBC1D12	turquoise	pink
TBC1D13	turquoise	pink
TBC1D15	pink	pink
TBC1D16	turquoise	pink
TBC1D17	brown	brown
TBC1D19	turquoise	pink
TBC1D2	grey	grey
TBC1D20	turquoise	pink
TBC1D22A	turquoise	pink
TBC1D22B	turquoise	pink
TBC1D23	pink	pink
TBC1D24	brown	brown
TBC1D25	turquoise	pink
TBC1D2B	turquoise	pink
TBC1D30	grey	grey
TBC1D31	blue	blue
TBC1D32	grey	grey
TBC1D4	yellow	magenta
TBC1D5	turquoise	pink
TBC1D7	blue	blue
TBC1D8	turquoise	pink
TBC1D8B	turquoise	pink
TBC1D9	turquoise	pink
TBC1D9B	turquoise	pink
TBCB	grey	grey
TBCC	grey	grey
TBCD	turquoise	pink
TBCE	turquoise	pink
TBCEL	turquoise	pink
TBCK	turquoise	pink
TBK1	pink	pink
TBKBP1	turquoise	pink
TBL1X	turquoise	pink
TBL1XR1	pink	pink
TBL2	grey	grey
TBL3	brown	brown
TBP	blue	blue
TBRG1	brown	brown
TBRG4	blue	blue
TBX1	grey	grey
TBX10	grey	grey
TBX15	grey	grey
TBX18	grey	grey
TBX19	brown	brown
TBX2	red	red
TBX21	magenta	magenta
TBX3	red	red
TBX4	red	red
TBX5	green	green
TBX6	grey	grey
TBXA2R	green	green
TBXAS1	grey	grey
TC2N	grey	grey
TCAF1	turquoise	pink
TCAIM	turquoise	pink
TCAP	brown	brown
TCEA1	blue	blue
TCEA2	grey	grey
TCEA3	grey	grey
TCEAL1	grey	grey
TCEAL2	grey	grey
TCEAL4	turquoise	pink
TCEAL7	green	green
TCEAL8	grey	grey
TCEANC	turquoise	pink
TCEANC2	turquoise	pink
TCERG1	turquoise	pink
TCERG1L	grey	grey
TCF12	turquoise	pink
TCF15	grey	grey
TCF19	blue	blue
TCF20	turquoise	pink
TCF21	red	red
TCF24	grey	grey
TCF25	brown	brown
TCF3	blue	blue
TCF4	green	green
TCF7	magenta	magenta
TCF7L1	grey	grey
TCF7L2	turquoise	pink
TCFL5	grey	grey
TCHH	grey	grey
TCHP	turquoise	pink
TCL1A	magenta	magenta
TCN1	grey	grey
TCN2	grey	grey
TCOF1	turquoise	pink
TCP11	grey	grey
TCP11L1	grey	grey
TCP11L2	turquoise	pink
TCTA	grey	grey
TCTE1	black	black
TCTE3	brown	brown
TCTEX1D1	black	black
TCTN1	black	black
TCTN2	pink	pink
TCTN3	turquoise	pink
TDG	blue	blue
TDO2	grey	grey
TDP1	blue	blue
TDP2	blue	blue
TDRD1	grey	grey
TDRD10	grey	grey
TDRD12	grey	grey
TDRD3	turquoise	pink
TDRD5	grey	grey
TDRD6	yellow	magenta
TDRD7	grey	grey
TDRD9	grey	grey
TDRKH	turquoise	pink
TDRP	grey	grey
TEAD1	turquoise	pink
TEAD2	grey	grey
TEAD3	turquoise	pink
